,Car,Model,Volume,Weight,CO2
0,Toyoty,Aygo,1.0,790,99
1,Mitsubishi,Space Star,1.2,1160,95
2,Skoda,Citigo,1.0,929,95
3,Fiat,500,0.9,865,90
4,Mini,Cooper,1.5,1140,105
5,VW,Up!,1.0,929,105
6,Skoda,Fabia,1.4,1109,90
7,Mercedes,A-Class,1.5,1365,92
8,Ford,Fiesta,1.5,1112,98
9,Audi,A1,1.6,1150,99
10,Hyundai,I20,1.1,980,99
11,Suzuki,Swift,1.3,990,101
12,Ford,Fiesta,1.0,1112,99
13,Honda,Civic,1.6,1252,94
14,Hundai,I30,1.6,1326,97
15,Opel,Astra,1.6,1330,97
16,BMW,1,1.6,1365,99
17,Mazda,3,2.2,1280,104
18,Skoda,Rapid,1.6,1119,104
19,Ford,Focus,2.0,1328,105
20,Ford,Mondeo,1.6,1584,94
21,Opel,Insignia,2.0,1428,99
22,Mercedes,C-Class,2.1,1365,99
23,Skoda,Octavia,1.6,1415,99
24,Volvo,S60,2.0,1415,99
25,Mercedes,CLA,1.5,1465,102
26,Audi,A4,2.0,1490,104
27,Audi,A6,2.0,1725,114
28,Volvo,V70,1.6,1523,109
29,BMW,5,2.0,1705,114
30,Mercedes,E-Class,2.1,1605,115
31,Volvo,XC70,2.0,1746,117
32,Ford,B-Max,1.6,1235,104
33,BMW,216,1.6,1390,108
34,Opel,Zafira,1.6,1405,109
35,Mercedes,SLK,2.5,1395,120
